Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Recalculated_Revenue
2000,Kids,Training,SuperRep Go,M,1.9622641509433962,6110.030000000001,0.47,0.0,2024-03-09,online,Bangalore,-770.45,0.0
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,0.0,2024-07-09,retail,Hyderabad,-112.53,0.0
2002,Women,Soccer,Premier III,M,4.0,6110.030000000001,0.0,0.0,2024-07-09,retail,Mumbai,3337.34,0.0
2003,Kids,Lifestyle,Blazer Mid,L,1.9622641509433962,9673.57,0.0,0.0,2024-07-09,online,Pune,3376.85,0.0
2004,Kids,Running,React Infinity,XL,1.9622641509433962,6110.030000000001,0.0,0.0,2024-07-09,retail,Delhi,187.89,0.0
2005,Women,Training,Flex Trainer,M,1.0,7363.96,0.0,0.0,2024-07-09,retail,Delhi,1415.98,0.0
2006,Men,Training,SuperRep Go,M,1.9622641509433962,6819.78,0.0,0.0,2024-07-09,online,Bangalore,1802.09,0.0
2007,Kids,Training,SuperRep Go,M,1.0,6110.030000000001,0.32,0.0,2024-07-09,retail,Bangalore,2928.36,0.0
2008,Women,Soccer,Premier III,11,1.9622641509433962,6110.030000000001,0.0,0.0,2024-07-09,online,Hyderabad,-731.18,0.0
2009,Men,Soccer,Mercurial Superfly,M,4.0,6110.030000000001,0.0,0.0,2024-07-09,online,Pune,3929.61,0.0
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.0,0.0,2024-07-09,online,Pune,1965.56,0.0
2011,Women,Training,Flex Trainer,L,1.9622641509433962,9586.08,0.0,0.0,2024-07-09,retail,Hyderabad,1667.08,0.0
2018,Kids,Lifestyle,Blazer Mid,NAN,1.9622641509433962,6110.030000000001,0.86,0.0,2024-07-09,online,Delhi,2109.48,0.0
2013,Kids,Training,SuperRep Go,NAN,1.9622641509433962,9671.05,0.0,0.0,2024-07-09,online,Hyderabad,299.34,0.0
2014,Women,Running,React Infinity,11,1.9622641509433962,6110.030000000001,0.0,0.0,2025-04-12,online,Bangalore,-1044.4,0.0
2015,Kids,Basketball,Air Jordan,NAN,1.9622641509433962,3285.52,0.0,0.0,2025-04-12,retail,Kolkata,1193.21,0.0
2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,6910.22,2025-04-12,retail,Hyderabad,2452.69,6910.224999999999
2017,Women,Basketball,Air Jordan,9,4.0,6110.030000000001,0.0,0.0,2025-04-12,retail,Delhi,1946.24,0.0
2018,Men,Training,Metcon 7,XL,0.0,6110.030000000001,0.0,0.0,2025-04-12,online,Bangalore,-966.89,0.0
2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,2025-04-12,online,Hyderabad,1915.24,0.0
2020,Kids,Soccer,Tiempo Legend,L,1.9622641509433962,6110.030000000001,0.67,0.0,2025-04-12,retail,Mumbai,439.96,0.0
2021,Men,Running,Free RN,L,1.9622641509433962,7086.7,0.66,-2409.48,2025-04-12,retail,Hyderabad,-1120.49,0.0
2022,Women,Soccer,Premier III,M,1.9622641509433962,6110.030000000001,0.0,0.0,2025-04-12,online,Pune,3427.16,0.0
2023,Men,Lifestyle,Waffle One,M,1.9622641509433962,5003.95,0.0,0.0,2025-04-12,online,Mumbai,1498.37,0.0
2024,Kids,Training,SuperRep Go,XL,0.0,6110.030000000001,0.5,0.0,2025-04-12,retail,Bangalore,1842.35,0.0
2025,Women,Basketball,Kyrie Flytrap,M,3.0,9820.5,0.0,0.0,2025-04-12,retail,Mumbai,1900.15,0.0
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,0.16,0.0,2024-08-10,retail,Kolkata,2301.64,0.0
2027,Men,Basketball,Zoom Freak,XL,1.9622641509433962,6110.030000000001,0.22,0.0,2024-08-10,online,Pune,-138.74,0.0
2028,Men,Training,Flex Trainer,12,1.9622641509433962,3270.23,0.0,0.0,2024-08-10,retail,Delhi,-946.86,0.0
2029,Men,Training,ZoomX Invincible,12,0.0,6110.030000000001,0.0,0.0,2023-10-28,online,Bangalore,-185.67,0.0
2030,Men,Soccer,Phantom GT,XL,1.9622641509433962,6110.030000000001,0.0,0.0,2023-10-28,retail,Hyderabad,-122.93,0.0
2031,Men,Soccer,Premier III,NAN,4.0,3493.04,0.82,2514.99,2024-05-09,online,Delhi,350.7,2514.9888000000005
2032,Women,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,0.0,0.0,2024-05-09,retail,Mumbai,-555.16,0.0
2033,Men,Soccer,Mercurial Superfly,XL,1.9622641509433962,6110.030000000001,0.0,0.0,2024-05-09,retail,Kolkata,-1005.71,0.0
2034,Men,Basketball,Air Jordan,6,1.9622641509433962,6235.71,0.0,0.0,2024-05-09,retail,Delhi,-267.37,0.0
2035,Kids,Basketball,Zoom Freak,NAN,4.0,6110.030000000001,0.38,0.0,2024-05-09,online,Bangalore,2914.83,0.0
2036,Men,Training,Metcon 7,NAN,3.0,6110.030000000001,0.0,0.0,2024-05-09,retail,Bangalore,-143.8,0.0
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,0.0,-169.59,2024-05-09,retail,Pune,2776.96,0.0
2038,Kids,Running,Free RN,NAN,0.0,6110.030000000001,0.83,0.0,2024-05-09,online,Delhi,1163.21,0.0
2039,Women,Training,Flex Trainer,M,1.9622641509433962,2767.7,0.63,0.0,2024-05-09,retail,Hyderabad,-336.3,0.0
2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,0.0,0.0,2024-05-09,retail,Delhi,145.08,0.0
2041,Kids,Soccer,Tiempo Legend,12,1.9622641509433962,5553.88,0.0,0.0,2024-05-09,online,Hyderabad,2371.66,0.0
2042,Women,Basketball,Kyrie Flytrap,L,1.9622641509433962,6110.030000000001,0.0,0.0,2024-05-09,online,Hyderabad,-862.16,0.0
2043,Men,Soccer,Premier III,XL,1.9622641509433962,3492.89,0.77,0.0,2024-05-02,retail,Delhi,3770.75,0.0
2044,Kids,Training,SuperRep Go,NAN,1.9622641509433962,6110.030000000001,0.0,0.0,2023-09-06,online,Delhi,2174.71,0.0
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6110.030000000001,0.0,0.0,2025-04-06,retail,Delhi,1833.94,0.0
2046,Kids,Running,Air Zoom,12,1.9622641509433962,6110.030000000001,0.0,0.0,2025-04-06,online,Kolkata,1284.33,0.0
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,0.0,2024-06-13,retail,Bangalore,2888.68,0.0
2048,Women,Basketball,Air Jordan,XL,1.9622641509433962,6110.030000000001,0.0,0.0,2024-06-13,online,Bangalore,2875.86,0.0
2049,Kids,Soccer,Tiempo Legend,L,1.0,7767.2,0.0,0.0,2024-06-13,retail,Pune,311.48,0.0
2050,Men,Running,Air Zoom,L,1.0,6110.030000000001,0.57,0.0,2024-06-13,retail,Kolkata,682.12,0.0
2051,Women,Basketball,Air Jordan,XL,1.9622641509433962,6110.030000000001,0.37,0.0,2024-01-05,retail,Delhi,3135.98,0.0
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.0,0.0,2024-10-08,retail,Pune,2184.8,0.0
2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,0.0,0.0,2024-10-08,online,Delhi,3384.92,0.0
2054,Women,Training,Flex Trainer,11,1.9622641509433962,6110.030000000001,0.0,0.0,2024-10-08,online,Mumbai,-549.76,0.0
2055,Men,Basketball,Kyrie Flytrap,L,1.9622641509433962,6110.030000000001,0.0,0.0,2024-10-08,online,Hyderabad,-1078.76,0.0
2056,Men,Running,React Infinity,L,3.0,6110.030000000001,0.0,0.0,2024-05-31,retail,Bangalore,-244.44,0.0
2048,Men,Lifestyle,Waffle One,M,3.0,6216.29,0.94,1118.93,2024-05-31,online,Mumbai,-642.02,1118.932200000001
2058,Women,Training,Flex Trainer,11,1.9622641509433962,4985.92,0.0,0.0,2024-05-31,online,Kolkata,361.54,0.0
2059,Kids,Soccer,Phantom GT,NAN,1.9622641509433962,9507.54,0.0,0.0,2023-12-27,retail,Delhi,291.28,0.0
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.0,0.0,2024-07-11,online,Bangalore,2821.59,0.0
2061,Women,Basketball,LeBron 20,L,1.9622641509433962,6110.030000000001,0.0,0.0,2024-07-11,online,Mumbai,-501.68,0.0
2062,Men,Basketball,Air Jordan,NAN,2.0,6110.030000000001,0.0,0.0,2024-07-11,online,Bangalore,1823.91,0.0
2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,8190.84,2024-07-11,retail,Pune,1130.31,8190.84
2064,Kids,Running,React Infinity,L,2.0,7557.71,0.0,0.0,2024-07-11,online,Bangalore,3277.44,0.0
2065,Women,Lifestyle,Waffle One,10,1.9622641509433962,6110.030000000001,0.78,0.0,2024-02-11,retail,Hyderabad,21.58,0.0
2066,Men,Soccer,Phantom GT,XL,1.9622641509433962,5259.05,0.0,0.0,2024-12-10,online,Mumbai,1022.82,0.0
2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,0.0,0.0,2024-12-10,online,Kolkata,161.5,0.0
2068,Men,Running,Free RN,NAN,4.0,2553.29,0.0,0.0,2024-12-10,retail,Mumbai,984.9,0.0
2069,Women,Training,SuperRep Go,NAN,1.9622641509433962,7502.24,0.0,0.0,2025-07-14,online,Pune,3554.58,0.0
2070,Kids,Running,React Infinity,L,1.9622641509433962,6110.030000000001,0.0,0.0,2025-07-14,retail,Mumbai,1112.43,0.0
2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,12010.21,2025-07-14,retail,Pune,-882.96,12010.209300000002
2072,Men,Training,Flex Trainer,NAN,3.0,6110.030000000001,0.0,0.0,2025-07-14,retail,Pune,3639.2,0.0
2073,Women,Lifestyle,Blazer Mid,12,4.0,6110.030000000001,0.85,0.0,2025-07-14,online,Hyderabad,443.86,0.0
2074,Men,Training,Flex Trainer,L,1.9622641509433962,6110.030000000001,0.57,0.0,2025-07-14,online,Kolkata,1958.47,0.0
2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,0.0,0.0,2025-07-14,online,Pune,2345.35,0.0
2076,Women,Training,ZoomX Invincible,11,1.9622641509433962,6110.030000000001,0.0,0.0,2025-07-14,retail,Bangalore,2011.25,0.0
2077,Men,Training,ZoomX Invincible,L,1.9622641509433962,6110.030000000001,0.0,0.0,2023-11-21,online,Pune,3332.66,0.0
2078,Women,Basketball,LeBron 20,NAN,0.0,6970.47,0.0,0.0,2023-11-21,online,Mumbai,262.79,0.0
2079,Men,Running,Pegasus Turbo,XL,1.9622641509433962,4322.06,0.0,0.0,2023-11-21,online,Bangalore,279.78,0.0
2080,Men,Lifestyle,Blazer Mid,L,1.9622641509433962,6110.030000000001,0.0,0.0,2025-03-31,online,Bangalore,-1005.89,0.0
2081,Men,Training,ZoomX Invincible,L,1.9622641509433962,6110.030000000001,0.0,0.0,2025-03-31,online,Mumbai,2810.49,0.0
2028,Men,Running,Free RN,NAN,1.9622641509433962,6110.030000000001,0.21,0.0,2024-02-14,online,Hyderabad,3303.01,0.0
